material_id,source_path,material_role,score,assignment_reason,sha256
mat_0065,themes/05-Full-Transformer/lab/01_full_transformer_tiny_shakespeare.ipynb,lab,1.32,path_hint+keywords,2fd079ff83e9f3e2ffbfeb8907c5a4e089e5f2cf58d511a703a3af25af6663c3
mat_0066,themes/05-Full-Transformer/lab/guides/00_full_transformer_prerequisites.md,lab_guide,0.88,path_hint+keywords,537406b74f904044cc9693e483be1dc8f6ddb0583fa996e96174cac9f2d82353
mat_0067,themes/05-Full-Transformer/lab/guides/01_full_transformer_walkthrough.md,lab_guide,0.88,path_hint+keywords,6633e0183b8f429744c9c19849b093e206225eb6c2a8015acfc8979d52b73718
mat_0068,themes/05-Full-Transformer/lab/guides/02_full_transformer_debugging_playbook.md,lab_guide,0.84,path_hint+keywords,cbbf3b32048c8155b6092f982e805ce611f9bb6cd83f5e5168729bf6a0b4278d
mat_0069,themes/05-Full-Transformer/lab/solutions/01_full_transformer_wikitext2_solution.ipynb,lab_solution,1.4,path_hint+keywords,dbad40bc27acac48ae99f83c2064c6a38d40c0d3cc6355a08b49ed8cb81b062a
mat_0070,themes/05-Full-Transformer/theory/theory.md,theory,1.4,path_hint+keywords,20207659f2fa42297eae40b69626290199575f7849989872815e9153aff6a3ec
