material_id,source_path,ext_kind,size_bytes,sha256,is_duplicate,duplicate_of,detected_lang_hint,material_role
mat_0001,00-initial/01-RNN/Конспект - рекуррентные нейронные сети для начинающих.pdf,pdf,349033,c442a763a9a8aa37722cf61c06919f342d566c4cc79e66c197e370b0350b601e,False,,unknown,legacy_context
mat_0002,themes/00-Foundations/examples/01_numpy_sequence_basics.ipynb,ipynb,8497,1b978b807c135eb392a2d81c6f2efccbc6b3e5337ddbf7fc1a06a3391fcc1028,False,,mixed,example
mat_0003,themes/00-Foundations/examples/02_minimal_keras_sequence_classifier.ipynb,ipynb,20442,5d96a884daf8bec128c7205bb469d3b948bb883907b0391213b6b8b27741e633,False,,mixed,example
mat_0004,themes/00-Foundations/examples/03_tokenization_padding_masking.ipynb,ipynb,18325,047baed462624086d7f7731267317bcf89329fbb8549303ca00bd09f05d45c20,False,,mixed,example
mat_0005,themes/00-Foundations/examples/04_attention_heatmap_toy.ipynb,ipynb,16414,e5c7aa6c81bf28f3d8a456f248fcf4d94522b674fcbc445da925f9aba8bc7536,False,,mixed,example
mat_0006,themes/00-Foundations/showcases/01_imdb_many_to_one_showcase.ipynb,ipynb,75173,5a57aed8ebfc6df5d6582512f2bcdb22a6ae2e458144617d18b14cb0ab283e86,False,,mixed,showcase
mat_0007,themes/00-Foundations/showcases/02_jena_climate_lstm_gru_showcase.ipynb,ipynb,20540,a2266e36f1c5c649191f873d5caa018a245e2967a77f6c44691d1d1e90286b64,False,,mixed,showcase
mat_0008,themes/00-Foundations/showcases/03_spa_eng_seq2seq_attention_showcase.ipynb,ipynb,35565,1a0a01910dcd77818eca97359c3a5aa02115216453644b0773d825c11826a254,False,,mixed,showcase
mat_0009,themes/00-Foundations/showcases/cards/01_imdb.md,md,1321,4c91d3a6c8ade5113cefea1886acb818fe0358074636db767aad25c2618c293e,False,,mixed,showcase_card
mat_0010,themes/00-Foundations/showcases/cards/02_jena_climate.md,md,1374,60b2893fffcdac482aa932952134694459e6b625a68ea4eaf293026e78c820f2,False,,mixed,showcase_card
mat_0011,themes/00-Foundations/showcases/cards/03_spa_eng.md,md,1307,f0a70988f50527b1035635412dc4c8352eaf692442be16c78efae51026fbf5ad,False,,mixed,showcase_card
mat_0012,themes/00-Foundations/showcases/cards/04_reuters.md,md,1164,d5625eb7b4d514d2857996ee99bc0bc595baee24c81ca81df0acbbb8884aaa29,False,,mixed,showcase_card
mat_0013,themes/00-Foundations/showcases/cards/05_uci_har.md,md,1172,d774c245159affb10adf0bf2099e1658c41d95dfe2da2d52ca2238a6a9d7dbda,False,,mixed,showcase_card
mat_0014,themes/00-Foundations/showcases/cards/06_shakespeare.md,md,1207,0f83592b8684d30d73b90666188762d14172d2ba651a62dbe44b99172f72ca05,False,,mixed,showcase_card
mat_0015,themes/00-Foundations/showcases/cards/07_forda.md,md,1216,ae4a44e358b6ec4d0bc7873830b3a9e7f31c4fb72a7295517555b3e017fedff8,False,,mixed,showcase_card
mat_0016,themes/00-Foundations/theory/theory.md,md,6846,a29e8d6e32f063bcb0287c083be4c62094b5d053818649d4f46602299c6a46a4,False,,mixed,theory
mat_0017,themes/01-RNN/lab/01_simple_rnn_many_to_one_toy.ipynb,ipynb,49323,658f2a2a6ac00de310031fe382cc5c45a9393190d8a185be3b81213b0b2036b8,False,,mixed,lab
mat_0018,themes/01-RNN/lab/02_lstm_many_to_many_toy.ipynb,ipynb,50161,c8dd0e2352c27c22713e5b6c247aa36d55e853b5cc015b2bb2905e87b375c895,False,,mixed,lab
mat_0019,themes/01-RNN/lab/03_gru_seq2seq_reverse_toy.ipynb,ipynb,51330,0e1891f7084f1faf7f258a823a02d5518961c586643f7225b5da0d4969f66239,False,,mixed,lab
mat_0020,themes/01-RNN/lab/guides/00_prerequisites_and_notation.md,md,14105,31fe6a3410658c2068398dccf491fa89a17841aed3e1fb5eceb9a3fdba7f14f7,False,,mixed,lab_guide
mat_0021,themes/01-RNN/lab/guides/00_self_study_debugging_playbook.md,md,8313,42fd28f6968e33eb742c35dd2b3e1ac17257405faeac2dcddb8d332e9a2b00ff,False,,mixed,lab_guide
mat_0022,themes/01-RNN/lab/guides/01_simple_rnn_many_to_one_beginner.md,md,8236,3822ffc2b3adacb8ea2a1216136b70431e5b6b32aaac74bc7a982656cae2ecc2,False,,mixed,lab_guide
mat_0023,themes/01-RNN/lab/guides/01_simple_rnn_walkthrough.md,md,7022,09b3b13580dc04035efc6e00d05f127baac2b949ffd2c89590cad4a74210a000,False,,mixed,lab_guide
mat_0024,themes/01-RNN/lab/guides/02_lstm_many_to_many_beginner.md,md,8887,d7f7b6e2429e8a69e48a17c722018b12fb33b06bb65a0210adbafa55a4401a9d,False,,mixed,lab_guide
mat_0025,themes/01-RNN/lab/guides/02_lstm_walkthrough.md,md,7709,3476d255aafa9d87657e03226e8b1897493e57b39034c3d7ca99273d889a4f1f,False,,mixed,lab_guide
mat_0026,themes/01-RNN/lab/guides/03_gru_seq2seq_tokens_beginner.md,md,6700,eaacd50c195d3757fa075bdf7906af512aec34664042cde336f2cf5753fe92ea,False,,mixed,lab_guide
mat_0027,themes/01-RNN/lab/guides/03_gru_seq2seq_walkthrough.md,md,8122,2a20cc5a0fdd2650b55b2f41012fa2fd114168683523a39f347f656fc89a982a,False,,mixed,lab_guide
mat_0028,themes/01-RNN/lab/solutions/01_simple_rnn_many_to_one_toy_solution.ipynb,ipynb,50450,943d6e202f88155a685c237a9a016c73e48cd6ae36348f54029da7ba6872e0ad,False,,mixed,lab_solution
mat_0029,themes/01-RNN/lab/solutions/02_lstm_many_to_many_toy_solution.ipynb,ipynb,50978,0816186cf99f591e07bd7481d79e4038f1d7a1f4326f8710b304198ae23d07c5,False,,mixed,lab_solution
mat_0030,themes/01-RNN/lab/solutions/03_gru_seq2seq_reverse_toy_solution.ipynb,ipynb,51298,7ce09c534bb2813da2511dd01011b49ed1e84fdab1d651e87b813793c9e07124,False,,mixed,lab_solution
mat_0031,themes/01-RNN/theory/ERRATA.md,md,3707,94521787fc5d0a0f67050bb09fc466f9c107c283a1ad41b0a1e930378c4cd0e7,False,,mixed,theory
mat_0032,themes/01-RNN/theory/theory.md,md,36263,baff9a2d6849d04a1f07a449a7a71535a10b2f5258e85e86471218a4105c7a6e,False,,mixed,theory
mat_0033,themes/02-Attention/lab/01_gru_seq2seq_attention_reverse_toy.ipynb,ipynb,63515,0d5927e104a9d38b14920908e894053f888b82ae499d05564d704517a0922d2c,False,,mixed,lab
